,19.30% FGN APR 2029,19.89% FGN MAY 2033,source_file,auction_month,18.50% FGN FEB 2031,DESCRIPTION,17.95% FGN JUN 2032,19.00% FGN FEB 2034,16.2884% FGN MAR 2027,14.55% FGN APR 2029,14.70% FGN JUN 2033,15.45% FGN JUN 2038,22.60% FGN JAN 2035,19.300% FGN APR 2029,17.945% FGN AUG 2030,15.70% FGN JUN 2053,19.94% FGN MAR 2027
,,,"Summary of FGN Bond Auction Results for December, 2025.pdf",2025-12-01,,Successful Bids:,112,,,,,,,,38,,
,,,"Summary of FGN Bond Auction Results for December, 2025.pdf",2025-12-01,,Subscription:,₦731.399 billion,,,,,,,,₦159.211 billion,,
,,,"Summary of FGN Bond Auction Results for December, 2025.pdf",2025-12-01,,Amount Allotted:,₦494.478 billion,,,,,,,,₦101.987 billion,,
,,,"Summary of FGN Bond Auction Results for December, 2025.pdf",2025-12-01,,Non-Competitive Allotment:,₦4.000 billion,,,,,,,,-,,
,,,"Summary of FGN Bond Auction Results for December, 2025.pdf",2025-12-01,,Range of Bids:,15.0000% - 18.5200%,,,,,,,,15.0000% - 18.5100%,,
,,,"Summary of FGN Bond Auction Results for December, 2025.pdf",2025-12-01,,Marginal Rates:,17.3000%,,,,,,,,17.2000%,,
Auction Date:,,,"Summary of FGN Bond Auction Results for February, 2024.pdf",2024-02-01,"February 19, 2024",,,"February 19, 2024",,,,,,,,,
Settlement Date:,,,"Summary of FGN Bond Auction Results for February, 2024.pdf",2024-02-01,"February 21, 2024",,,"February 21, 2024",,,,,,,,,
Maturity Date:,,,"Summary of FGN Bond Auction Results for February, 2024.pdf",2024-02-01,"February 21, 2031",,,"February 21, 2034",,,,,,,,,
Tenors:,,,"Summary of FGN Bond Auction Results for February, 2024.pdf",2024-02-01,7-Year,,,10-Year,,,,,,,,,
Term-To-Maturity:,,,"Summary of FGN Bond Auction Results for February, 2024.pdf",2024-02-01,7 Years,,,10 Years,,,,,,,,,
Amount Offered:,,,"Summary of FGN Bond Auction Results for February, 2024.pdf",2024-02-01,"₦1,250.000 billion",,,"₦1,250.000 billion",,,,,,,,,
Total Bids:,,,"Summary of FGN Bond Auction Results for February, 2024.pdf",2024-02-01,189,,,265,,,,,,,,,
Successful Bids:,,,"Summary of FGN Bond Auction Results for February, 2024.pdf",2024-02-01,119,,,173,,,,,,,,,
Subscription:,,,"Summary of FGN Bond Auction Results for February, 2024.pdf",2024-02-01,"₦1,082.113 billion",,,₦820.792 billion,,,,,,,,,
Amount Allotted:,,,"Summary of FGN Bond Auction Results for February, 2024.pdf",2024-02-01,₦873.527 billion,,,₦621.382 billion,,,,,,,,,
Range of Bids:,,,"Summary of FGN Bond Auction Results for February, 2024.pdf",2024-02-01,11.0000% - 27.0000%,,,12.0000% - 30.0000%,,,,,,,,,
Marginal Rates:,,,"Summary of FGN Bond Auction Results for February, 2024.pdf",2024-02-01,18.5000%,,,19.0000%,,,,,,,,,
Auction Date:,"February 24, 2025",,"Summary of FGN Bond Auction Results for February, 2025.pdf",2025-02-01,"February 24, 2025",,,,,,,,,,,,
Settlement Date:,"February 26, 2025",,"Summary of FGN Bond Auction Results for February, 2025.pdf",2025-02-01,"February 26, 2025",,,,,,,,,,,,
Maturity Date:,"April 17, 2029",,"Summary of FGN Bond Auction Results for February, 2025.pdf",2025-02-01,"February 21, 2031",,,,,,,,,,,,
Tenors:,5-Year,,"Summary of FGN Bond Auction Results for February, 2025.pdf",2025-02-01,7-Year,,,,,,,,,,,,
Term-To-Maturity:,"4 Years, 2 Months",,"Summary of FGN Bond Auction Results for February, 2025.pdf",2025-02-01,6 Years,,,,,,,,,,,,
Amount Offered:,₦200 billion,,"Summary of FGN Bond Auction Results for February, 2025.pdf",2025-02-01,₦150 billion,,,,,,,,,,,,
Total Bids:,133,,"Summary of FGN Bond Auction Results for February, 2025.pdf",2025-02-01,318,,,,,,,,,,,,
Successful Bids:,97,,"Summary of FGN Bond Auction Results for February, 2025.pdf",2025-02-01,175,,,,,,,,,,,,
Subscription:,₦465.146 billion,,"Summary of FGN Bond Auction Results for February, 2025.pdf",2025-02-01,"₦1,167.092 billion",,,,,,,,,,,,
Amount Allotted:,₦305.362 billion,,"Summary of FGN Bond Auction Results for February, 2025.pdf",2025-02-01,₦605.027 billion,,,,,,,,,,,,
Range of Bids:,17.0000% - 22.0000%,,"Summary of FGN Bond Auction Results for February, 2025.pdf",2025-02-01,17.0000% - 22.0000%,,,,,,,,,,,,
Marginal Rates:,19.2000%,,"Summary of FGN Bond Auction Results for February, 2025.pdf",2025-02-01,19.3300%,,,,,,,,,,,,
Auction Date:,"January 27, 2025",,"Summary of FGN Bond Auction Results for January, 2025.pdf",2025-01-01,"January 27, 2025",,,,,,,,"January 27, 2025",,,,
Settlement Date:,"January 29, 2025",,"Summary of FGN Bond Auction Results for January, 2025.pdf",2025-01-01,"January 29, 2025",,,,,,,,"January 29, 2025",,,,
Maturity Date:,"April 17, 2029",,"Summary of FGN Bond Auction Results for January, 2025.pdf",2025-01-01,"February 21, 2031",,,,,,,,"January 29, 2035",,,,
Tenors:,5-Year,,"Summary of FGN Bond Auction Results for January, 2025.pdf",2025-01-01,7-Year,,,,,,,,10-Year,,,,
Term-To-Maturity:,"4 Years, 4 Months",,"Summary of FGN Bond Auction Results for January, 2025.pdf",2025-01-01,"6 Years, 2 Months",,,,,,,,10 Years,,,,
Amount Offered:,₦100 billion,,"Summary of FGN Bond Auction Results for January, 2025.pdf",2025-01-01,₦150 billion,,,,,,,,₦200 billion,,,,
Total Bids:,42,,"Summary of FGN Bond Auction Results for January, 2025.pdf",2025-01-01,75,,,,,,,,180,,,,
Successful Bids:,38,,"Summary of FGN Bond Auction Results for January, 2025.pdf",2025-01-01,66,,,,,,,,162,,,,
Subscription:,₦92.660 billion,,"Summary of FGN Bond Auction Results for January, 2025.pdf",2025-01-01,₦175.870 billion,,,,,,,,₦401.409 billion,,,,
Amount Allotted:,₦78.859 billion,,"Summary of FGN Bond Auction Results for January, 2025.pdf",2025-01-01,₦153.869 billion,,,,,,,,₦368.309 billion,,,,
Range of Bids:,19.3000% - 22.7500%,,"Summary of FGN Bond Auction Results for January, 2025.pdf",2025-01-01,20.0000% - 23.4500%,,,,,,,,15.0000% - 29.0000%,,,,
Marginal Rates:,21.7900%,,"Summary of FGN Bond Auction Results for January, 2025.pdf",2025-01-01,22.5000%,,,,,,,,22.6000%,,,,
Auction Date:,"July 22, 2024","July 22, 2024","Summary of FGN Bond Auction Results for July, 2024.pdf",2024-07-01,"July 22, 2024",,,,,,,,,,,,
Settlement Date:,"July 24, 2024","July 24, 2024","Summary of FGN Bond Auction Results for July, 2024.pdf",2024-07-01,"July 24, 2024",,,,,,,,,,,,
Maturity Date:,"April 17, 2029","May 15, 2033","Summary of FGN Bond Auction Results for July, 2024.pdf",2024-07-01,"February 21, 2031",,,,,,,,,,,,
Tenors:,5-Year,9-Year,"Summary of FGN Bond Auction Results for July, 2024.pdf",2024-07-01,7-Year,,,,,,,,,,,,
Term-To-Maturity:,"4 Years, 9 Months","8 Years, 10 Months","Summary of FGN Bond Auction Results for July, 2024.pdf",2024-07-01,"6 Years, 7 Months",,,,,,,,,,,,
Amount Offered:,₦100 billion,₦100 billion,"Summary of FGN Bond Auction Results for July, 2024.pdf",2024-07-01,₦100 billion,,,,,,,,,,,,
Total Bids:,21,149,"Summary of FGN Bond Auction Results for July, 2024.pdf",2024-07-01,16,,,,,,,,,,,,
Successful Bids:,11,117,"Summary of FGN Bond Auction Results for July, 2024.pdf",2024-07-01,9,,,,,,,,,,,,
Subscription:,₦21.485 billion,₦241.649 billion,"Summary of FGN Bond Auction Results for July, 2024.pdf",2024-07-01,₦16.530 billion,,,,,,,,,,,,
Amount Allotted:,₦18.885 billion,₦200.649 billion,"Summary of FGN Bond Auction Results for July, 2024.pdf",2024-07-01,₦6.180 billion,,,,,,,,,,,,
Range of Bids:,18.5000% - 21.0000%,17.5000% - 23.0000%,"Summary of FGN Bond Auction Results for July, 2024.pdf",2024-07-01,19.5000% - 22.3800%,,,,,,,,,,,,
Marginal Rates:,19.8900%,21.9800%,"Summary of FGN Bond Auction Results for July, 2024.pdf",2024-07-01,21.0000%,,,,,,,,,,,,
Auction Date:,"July 28, 2025",,"Summary of FGN Bond Auction Results for July, 2025.pdf",2025-07-01,,,"July 28, 2025",,,,,,,,,,
Settlement Date:,"July 30, 2025",,"Summary of FGN Bond Auction Results for July, 2025.pdf",2025-07-01,,,"July 30, 2025",,,,,,,,,,
Maturity Date:,"April 17, 2029",,"Summary of FGN Bond Auction Results for July, 2025.pdf",2025-07-01,,,"June 25, 2032",,,,,,,,,,
Tenors:,5-Year,,"Summary of FGN Bond Auction Results for July, 2025.pdf",2025-07-01,,,7-Year,,,,,,,,,,
Term-To-Maturity:,"3 Years, 9 Months",,"Summary of FGN Bond Auction Results for July, 2025.pdf",2025-07-01,,,"6 Years, 11 Months",,,,,,,,,,
Amount Offered:,₦20 billion,,"Summary of FGN Bond Auction Results for July, 2025.pdf",2025-07-01,,,₦60 billion,,,,,,,,,,
Total Bids:,40,,"Summary of FGN Bond Auction Results for July, 2025.pdf",2025-07-01,,,109,,,,,,,,,,
Successful Bids:,15,,"Summary of FGN Bond Auction Results for July, 2025.pdf",2025-07-01,,,59,,,,,,,,,,
Subscription:,₦39.075 billion,,"Summary of FGN Bond Auction Results for July, 2025.pdf",2025-07-01,,,₦261.597 billion,,,,,,,,,,
Amount Allotted:,₦13.430 billion,,"Summary of FGN Bond Auction Results for July, 2025.pdf",2025-07-01,,,₦172.502 billion,,,,,,,,,,
Range of Bids:,15.0000% - 20.0000%,,"Summary of FGN Bond Auction Results for July, 2025.pdf",2025-07-01,,,15.0000% - 19.0000%,,,,,,,,,,
Marginal Rates:,15.6900%,,"Summary of FGN Bond Auction Results for July, 2025.pdf",2025-07-01,,,15.9000%,,,,,,,,,,
Auction Date:,,,"Summary of FGN Bond Auction Results for March, 2024.pdf",2024-03-01,"March 18, 2024",,,"March 18, 2024",,,,,,,,,"March 18, 2024"
Settlement Date:,,,"Summary of FGN Bond Auction Results for March, 2024.pdf",2024-03-01,"March 20, 2024",,,"March 20, 2024",,,,,,,,,"March 20, 2024"
Maturity Date:,,,"Summary of FGN Bond Auction Results for March, 2024.pdf",2024-03-01,"February 21, 2031",,,"February 21, 2034",,,,,,,,,"March 20, 2027"
Tenors:,,,"Summary of FGN Bond Auction Results for March, 2024.pdf",2024-03-01,7-Year,,,10-Year,,,,,,,,,3-Year
Term-To-Maturity:,,,"Summary of FGN Bond Auction Results for March, 2024.pdf",2024-03-01,"6 Years, 11 Months",,,"9 Years, 11 Months",,,,,,,,,3 Years
Amount Offered:,,,"Summary of FGN Bond Auction Results for March, 2024.pdf",2024-03-01,₦150 billion,,,₦150 billion,,,,,,,,,₦150 billion
Total Bids:,,,"Summary of FGN Bond Auction Results for March, 2024.pdf",2024-03-01,39,,,166,,,,,,,,,67
Successful Bids:,,,"Summary of FGN Bond Auction Results for March, 2024.pdf",2024-03-01,33,,,154,,,,,,,,,58
Subscription:,,,"Summary of FGN Bond Auction Results for March, 2024.pdf",2024-03-01,₦51.786 billion,,,₦298.600 billion,,,,,,,,,₦264.628 billion
Amount Allotted:,,,"Summary of FGN Bond Auction Results for March, 2024.pdf",2024-03-01,₦47.886 billion,,,₦275.850 billion,,,,,,,,,₦151.928 billion
Non-Competitive Allotment:,,,"Summary of FGN Bond Auction Results for March, 2024.pdf",2024-03-01,,,,133.200 billion,,,,,,,,,
Range of Bids:,,,"Summary of FGN Bond Auction Results for March, 2024.pdf",2024-03-01,17.0000% - 23.0000%,,,17.5000% - 25.0000%,,,,,,,,,17.0000% - 24.0000%
Marginal Rates:,,,"Summary of FGN Bond Auction Results for March, 2024.pdf",2024-03-01,20.0000%,,,20.4500%,,,,,,,,,19.9400%
,,,"Summary of FGN Bond Auction Results for November, 2025.pdf",2025-11-01,,Auction Date:,"November 24, 2025",,,,,,,,"November 24, 2025",,
,,,"Summary of FGN Bond Auction Results for November, 2025.pdf",2025-11-01,,Settlement Date:,"November 26, 2025",,,,,,,,"November 26, 2025",,
,,,"Summary of FGN Bond Auction Results for November, 2025.pdf",2025-11-01,,Maturity Date:,"June 25, 2032",,,,,,,,"August 27, 2030",,
,,,"Summary of FGN Bond Auction Results for November, 2025.pdf",2025-11-01,,Tenors:,7-Year,,,,,,,,5-Year,,
,,,"Summary of FGN Bond Auction Results for November, 2025.pdf",2025-11-01,,Term-To-Maturity:,"6 Years, 7 Months",,,,,,,,"4 Years, 9 Months",,
,,,"Summary of FGN Bond Auction Results for November, 2025.pdf",2025-11-01,,Amount Offered:,₦230 billion,,,,,,,,₦230 billion,,
,,,"Summary of FGN Bond Auction Results for November, 2025.pdf",2025-11-01,,Total Bids:,148,,,,,,,,45,,
,,,"Summary of FGN Bond Auction Results for November, 2025.pdf",2025-11-01,,Successful Bids:,121,,,,,,,,37,,
,,,"Summary of FGN Bond Auction Results for November, 2025.pdf",2025-11-01,,Subscription:,₦509.392 billion,,,,,,,,₦147.869 billion,,
,,,"Summary of FGN Bond Auction Results for November, 2025.pdf",2025-11-01,,Amount Allotted:,₦448.722 billion,,,,,,,,₦134.799 billion,,
,,,"Summary of FGN Bond Auction Results for November, 2025.pdf",2025-11-01,,Non-Competitive Allotment:,₦6.000 billion,,,,,,,,-,,
,,,"Summary of FGN Bond Auction Results for November, 2025.pdf",2025-11-01,,Range of Bids:,14.9000% - 17.9500%,,,,,,,,14.9000% - 17.9450%,,
,,,"Summary of FGN Bond Auction Results for November, 2025.pdf",2025-11-01,,Marginal Rates:,16.0000%,,,,,,,,15.9000%,,
Auction Date:,"October 21, 2024",,"Summary of FGN Bond Auction Results for October, 2024.pdf",2024-10-01,"October 21, 2024",,,,,,,,,,,,
Settlement Date:,"October 23, 2024",,"Summary of FGN Bond Auction Results for October, 2024.pdf",2024-10-01,"October 23, 2024",,,,,,,,,,,,
Maturity Date:,"April 17, 2029",,"Summary of FGN Bond Auction Results for October, 2024.pdf",2024-10-01,"February 21, 2031",,,,,,,,,,,,
Tenors:,5-Year,,"Summary of FGN Bond Auction Results for October, 2024.pdf",2024-10-01,7-Year,,,,,,,,,,,,
Term-To-Maturity:,"4 Years, 6 Months",,"Summary of FGN Bond Auction Results for October, 2024.pdf",2024-10-01,"6 Years, 4 Months",,,,,,,,,,,,
Amount Offered:,₦90 billion,,"Summary of FGN Bond Auction Results for October, 2024.pdf",2024-10-01,₦90 billion,,,,,,,,,,,,
Total Bids:,45,,"Summary of FGN Bond Auction Results for October, 2024.pdf",2024-10-01,114,,,,,,,,,,,,
Successful Bids:,41,,"Summary of FGN Bond Auction Results for October, 2024.pdf",2024-10-01,70,,,,,,,,,,,,
Subscription:,₦60.737 billion,,"Summary of FGN Bond Auction Results for October, 2024.pdf",2024-10-01,₦328.584 billion,,,,,,,,,,,,
Amount Allotted:,₦57.237 billion,,"Summary of FGN Bond Auction Results for October, 2024.pdf",2024-10-01,₦232.360 billion,,,,,,,,,,,,
Range of Bids:,18.0000% - 21.9700%,,"Summary of FGN Bond Auction Results for October, 2024.pdf",2024-10-01,18.5000% - 23.2000%,,,,,,,,,,,,
Marginal Rates:,20.7500%,,"Summary of FGN Bond Auction Results for October, 2024.pdf",2024-10-01,21.7400%,,,,,,,,,,,,
Auction Date:,"September 23, 2024","September 23, 2024","Summary of FGN Bond Auction Results for September, 2024.pdf",2024-09-01,"September 23, 2024",,,,,,,,,,,,
Settlement Date:,"September 25, 2024","September 25, 2024","Summary of FGN Bond Auction Results for September, 2024.pdf",2024-09-01,"September 25, 2024",,,,,,,,,,,,
Maturity Date:,"April 17, 2029","May 15, 2033","Summary of FGN Bond Auction Results for September, 2024.pdf",2024-09-01,"February 21, 2031",,,,,,,,,,,,
Tenors:,5-Year,9-Year,"Summary of FGN Bond Auction Results for September, 2024.pdf",2024-09-01,7-Year,,,,,,,,,,,,
Term-To-Maturity:,"4 Years, 7 Months","8 Years, 8 Months","Summary of FGN Bond Auction Results for September, 2024.pdf",2024-09-01,"6 Years, 5 Months",,,,,,,,,,,,
Amount Offered:,₦70 billion,₦30 billion,"Summary of FGN Bond Auction Results for September, 2024.pdf",2024-09-01,₦50 billion,,,,,,,,,,,,
Total Bids:,21,230,"Summary of FGN Bond Auction Results for September, 2024.pdf",2024-09-01,33,,,,,,,,,,,,
Successful Bids:,9,133,"Summary of FGN Bond Auction Results for September, 2024.pdf",2024-09-01,25,,,,,,,,,,,,
Subscription:,₦22.555 billion,₦337.347 billion,"Summary of FGN Bond Auction Results for September, 2024.pdf",2024-09-01,₦54.979 billion,,,,,,,,,,,,
Amount Allotted:,₦2.732 billion,₦230.716 billion,"Summary of FGN Bond Auction Results for September, 2024.pdf",2024-09-01,₦31.079 billion,,,,,,,,,,,,
Range of Bids:,18.5000% - 20.1900%,18.0000% - 22.0000%,"Summary of FGN Bond Auction Results for September, 2024.pdf",2024-09-01,17.5000% - 21.1800%,,,,,,,,,,,,
Marginal Rates:,19.0000%,20.0500%,"Summary of FGN Bond Auction Results for September, 2024.pdf",2024-09-01,19.9900%,,,,,,,,,,,,
,,,"Summary of FGN Bond Auction Results for September, 2025.pdf",2025-09-01,,Auction Date:,"September 29, 2025",,,,,,,,"September 29, 2025",,
,,,"Summary of FGN Bond Auction Results for September, 2025.pdf",2025-09-01,,Settlement Date:,"October 2, 2025",,,,,,,,"October 2, 2025",,
,,,"Summary of FGN Bond Auction Results for September, 2025.pdf",2025-09-01,,Maturity Date:,"June 25, 2032",,,,,,,,"August 27, 2030",,
,,,"Summary of FGN Bond Auction Results for September, 2025.pdf",2025-09-01,,Tenors:,7-Year,,,,,,,,5-Year,,
,,,"Summary of FGN Bond Auction Results for September, 2025.pdf",2025-09-01,,Term-To-Maturity:,"6 Years, 9 Months",,,,,,,,"4 Years, 11 Months",,
,,,"Summary of FGN Bond Auction Results for September, 2025.pdf",2025-09-01,,Amount Offered:,₦100 billion,,,,,,,,₦100 billion,,
,,,"Summary of FGN Bond Auction Results for September, 2025.pdf",2025-09-01,,Total Bids:,270,,,,,,,,66,,
,,,"Summary of FGN Bond Auction Results for September, 2025.pdf",2025-09-01,,Successful Bids:,91,,,,,,,,26,,
,,,"Summary of FGN Bond Auction Results for September, 2025.pdf",2025-09-01,,Subscription:,"₦1,028.204 billion",,,,,,,,₦231.792 billion,,
,,,"Summary of FGN Bond Auction Results for September, 2025.pdf",2025-09-01,,Amount Allotted:,₦488.826 billion,,,,,,,,₦87.798 billion,,
,,,"Summary of FGN Bond Auction Results for September, 2025.pdf",2025-09-01,,Range of Bids:,14.9500% - 19.2000%,,,,,,,,15.0000% - 17.9450%,,
,,,"Summary of FGN Bond Auction Results for September, 2025.pdf",2025-09-01,,Marginal Rates:,16.2000%,,,,,,,,16.0000%,,
